shopify_gid,handle,sku,old_name,new_name,matched_png_fileid,confidence,bucket,top_similarity,chosen_index,candidate_names
,0-cross-stitch-black-embroidered-icon,ICON-45923952034049,0 Cross Stitch Black Embroidered Icon,Cross Stitch C,1mjtg_amUbRbiOQ9ySet7h_ftNoAUqd8E,high,High confidence,0.9531,4,Cross Stitch G | Cross Stitch U | Cross Stitch A | Cross Stitch D | Cross Stitch C | Cross Stitch W | Cross Stitch Q | Cross Stitch O | Cross Stitch V | Cross Stitch B | Cross Stitch M | Cross Stitch P
,v2-4-point-star,ICON-45782314385665,4 Point Star Embroidered Icon,,,high,No match - likely cut,0.5632,-1,Bandana Star | Star | Three Stars | Texas Outline | Summer Sun | Anchor | San Diego Pennant | Bandana Texas | LA Pennant | Statue of Liberty Head | Dallas Pennant | Austin Pennant
,5-cross-stitch-black-embroidered-icon,ICON-45923958325505,5 Cross Stitch Black Embroidered Icon,Cross Stitch S,1BKknB8icJc1-OM8mRtv987M8VAU16NWf,high,High confidence,0.9326,5,Cross Stitch A | Cross Stitch Z | Cross Stitch G | Cross Stitch E | Cross Stitch R | Cross Stitch S | Cross Stitch B | Cross Stitch K | Cross Stitch N | Cross Stitch W | Cross Stitch Q | Cross Stitch D
,5-cross-stitch-red-embroidered-icon,ICON-45923664855297,5 Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9315,-1,Cross Stitch A | Cross Stitch Z | Cross Stitch G | Cross Stitch E | Cross Stitch R | Cross Stitch S | Cross Stitch B | Cross Stitch K | Cross Stitch N | Cross Stitch W | Cross Stitch Q | Cross Stitch D
,6-cross-stitch-black-embroidered-icon,ICON-45923960062209,6 Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9386,-1,Cross Stitch A | Cross Stitch Z | Cross Stitch G | Cross Stitch E | Cross Stitch R | Cross Stitch K | Cross Stitch S | Cross Stitch B | Cross Stitch P | Cross Stitch W | Cross Stitch N | Cross Stitch V
,6-cross-stitch-red-embroidered-icon,ICON-45923664986369,6 Cross Stitch Red Embroidered Icon,Cross Stitch B,1VQVA7Oe1nO-CrfxtL_SdbmSRc4t5OFx5,high,High confidence,0.9363,7,Cross Stitch A | Cross Stitch Z | Cross Stitch G | Cross Stitch E | Cross Stitch R | Cross Stitch K | Cross Stitch S | Cross Stitch B | Cross Stitch P | Cross Stitch W | Cross Stitch N | Cross Stitch V
,7-cross-stitch-black-embroidered-icon,ICON-45923960324353,7 Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9278,-1,Cross Stitch K | Cross Stitch F | Cross Stitch Z | Cross Stitch A | Cross Stitch E | Cross Stitch R | Cross Stitch L | Cross Stitch P | Cross Stitch S | Cross Stitch V | Cross Stitch G | Cross Stitch Y
,7-cross-stitch-red-embroidered-icon,ICON-45923666362625,7 Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9260,-1,Cross Stitch K | Cross Stitch F | Cross Stitch Z | Cross Stitch A | Cross Stitch E | Cross Stitch R | Cross Stitch L | Cross Stitch P | Cross Stitch S | Cross Stitch V | Cross Stitch G | Cross Stitch Y
,v2-8-ball,ICON-45782314483969,8 Ball Embroidered Icon,,,low,No match - likely cut,0.8291,-1,8 Ball | Round Evil Eye | Blue Plaid O | Smile Pancakes | Donut | Japan Flag | Bandana O | Pointed Evil Eye | Bagel | Adderall | Olive | Bandana Q
,8-cross-stitch-black-embroidered-icon,ICON-45923967271169,8 Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9467,-1,Cross Stitch A | Cross Stitch G | Cross Stitch Z | Cross Stitch R | Cross Stitch S | Cross Stitch B | Cross Stitch E | Cross Stitch Q | Cross Stitch D | Cross Stitch V | Cross Stitch U | Cross Stitch P
,8-cross-stitch-red-embroidered-icon,ICON-45923666592001,8 Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9463,-1,Cross Stitch A | Cross Stitch G | Cross Stitch Z | Cross Stitch R | Cross Stitch S | Cross Stitch B | Cross Stitch E | Cross Stitch Q | Cross Stitch D | Cross Stitch V | Cross Stitch U | Cross Stitch P
,9-cross-stitch-black-embroidered-icon,ICON-45923967566081,9 Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9321,-1,Cross Stitch A | Cross Stitch G | Cross Stitch Z | Cross Stitch E | Cross Stitch R | Cross Stitch B | Cross Stitch S | Cross Stitch W | Cross Stitch D | Cross Stitch Q | Cross Stitch N | Cross Stitch U
,9-cross-stitch-red-embroidered-icon,ICON-45923667149057,9 Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9299,-1,Cross Stitch A | Cross Stitch G | Cross Stitch Z | Cross Stitch E | Cross Stitch R | Cross Stitch B | Cross Stitch S | Cross Stitch W | Cross Stitch D | Cross Stitch Q | Cross Stitch N | Cross Stitch U
,a-cheetah-embroidered-icon,ICON-46172395110657,A Cheetah Embroidered Icon,,,low,No match - likely cut,0.9856,-1,Cheetah A | Blue Plaid A | Cheetah K | Cheetah M | Cheetah R | Cheetah X | Pink Plaid A | Cheetah G | Cheetah N | Cheetah F | Cheetah P | Cheetah H
,a-cross-stitch-black-embroidered-icon,ICON-45923674095873,A Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9620,-1,Cross Stitch A | Cross Stitch G | Cross Stitch Z | Cross Stitch E | Cross Stitch R | Cross Stitch N | Cross Stitch V | Cross Stitch W | Cross Stitch M | Cross Stitch P | Cross Stitch S | Cross Stitch B
,a-cross-stitch-red-embroidered-icon,ICON-45923615211777,A Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9618,-1,Cross Stitch A | Cross Stitch G | Cross Stitch Z | Cross Stitch R | Cross Stitch E | Cross Stitch N | Cross Stitch V | Cross Stitch W | Cross Stitch P | Cross Stitch M | Cross Stitch S | Cross Stitch Y
,abbode-bow-black-embroidered-icon,ICON-45789725524225,Abbode Bow Black Embroidered Icon,Abbode Bow,1GDTEKIMTF8rtsihYeQDCMJJPtsV8Jqmw,high,High confidence,0.8963,0,Abbode Bow | Candy Cane Bow | Bikini | Long Bow | Locket Filled Bow | Treble Cleff | Candy Cane Heart | Cactus | Swans | Bikini Polka Dot | Clover | I Love CHS
,v2-abbode-bow-blue,ICON-45784344658177,Abbode Bow Blue Embroidered Icon,,,low,No match - likely cut,0.8906,-1,Abbode Bow | Candy Cane Bow | Long Bow | Locket Filled Bow | Bikini | Clover | Swans | Candy Cane Heart | Treble Cleff | Cactus | Pretzel | Rx
,abbode-bow-green-embroidered-icon,ICON-45789727654145,Abbode Bow Green Embroidered Icon,,,low,No match - likely cut,0.9505,-1,Abbode Bow | Candy Cane Bow | Long Bow | Locket Filled Bow | Swans | Candy Cane Heart | Bikini | Ski Goggles | Clover | Gingerbread Man | Bikini Polka Dot | Cactus
,v2-abbode-bow,ICON-45784344920321,Abbode Bow Pink Embroidered Icon,Abbode Bow,1GDTEKIMTF8rtsihYeQDCMJJPtsV8Jqmw,high,High confidence,0.8986,0,Abbode Bow | Candy Cane Bow | Long Bow | Locket Filled Bow | Bikini | Clover | Candy Cane Heart | Swans | Treble Cleff | Cactus | Pretzel | Rx
,abbode-bow-purple-embroidered-icon,ICON-45789727949057,Abbode Bow Purple Embroidered Icon,,,low,No match - likely cut,0.9018,-1,Abbode Bow | Candy Cane Bow | Long Bow | Bikini | Locket Filled Bow | Candy Cane Heart | Clover | Swans | Treble Cleff | Cactus | Crab | Rx
,v2-abbode-bow-red,ICON-45784345051393,Abbode Bow Red Embroidered Icon,Abbode Bow,1GDTEKIMTF8rtsihYeQDCMJJPtsV8Jqmw,high,High confidence,0.9074,0,Abbode Bow | Candy Cane Bow | Bikini | Long Bow | Locket Filled Bow | Treble Cleff | Candy Cane Heart | Swans | Cactus | Bikini Polka Dot | Clover | Crab
,abbode-bow-white-embroidered-icon,ICON-45789728637185,Abbode Bow White Embroidered Icon,,,low,No match - likely cut,0.8885,-1,Abbode Bow | Candy Cane Bow | Long Bow | Locket Filled Bow | Swans | Clover | Bikini | Candy Cane Heart | Treble Cleff | Cactus | Ski Goggles | Rx
,v2-ace-of-hearts,ICON-45782314615041,Ace of Hearts Embroidered Icon,,,low,No match - likely cut,0.5976,-1,Ace of Hearts | Jack of Hearts | Coffee | King of Hearts | Needlepoint | Popcorn | Envelope | Queen of Hearts | Chicago Popcorn | Pink Lighter | Japan Flag | Cards
,v2-airplane,ICON-45782314713345,Airplane Embroidered Icon,,,low,No match - likely cut,0.7426,-1,Airplane | Snowflake | Banana | Doberman | Sagittarius | Claw Clip | Skis | Candy Cane Bow | Fish Bone | Goldfish | Joint | USA Skis
,anchor-embroidered-icon,ICON-46316035047681,Anchor Embroidered Icon,,,low,No match - likely cut,0.9514,-1,Anchor | I Love LA | Rx | I Love SF | Snowflake | I Love NY | I Love ATX | Pisces | Scorpio | I Love CHI | LA Logo | I Love CHS
,aperol-bottle-embroidered-icon,ICON-46316061982977,Aperol Bottle Embroidered Icon,,,low,No match - likely cut,0.8737,-1,Aperol Bottle | Wine Bottle | Champagne Bottle | Nail Polish | Makeup Brushes | Lipstick | Ozempic Vial | Sriracha | Sunscreen | One Piece Swimsuit | Topo Chico | Boston Red Sock
,v2-aperol-spritz,ICON-45782314811649,Aperol Spritz Embroidered Icon,,,low,No match - likely cut,0.8658,-1,Aperol Spritz | Margarita | Red Wine | Cosmopolitan | White Wine | Espresso Martini | Christmas Cocktail | Martini | Champagne Glasses | Charleston Iced Tea | Red Rose | Cross Stitch Martini
,v2-apple-core,ICON-45782314909953,Apple Core Embroidered Icon,,,low,No match - likely cut,0.8672,-1,Apple Core | Statue of Liberty | Bikini Polka Dot | Texas Outline | Gingerbread Man | Bikini | Claw Clip | Reindeer | Charleston SC Palm Tree | New York Hot Dog | Stocking | Joint
,v2-apple,ICON-45782315008257,Apple Embroidered Icon,,,low,No match - likely cut,0.9270,-1,Apple | New York Apple | Heart | Austin Heart | Dallas Heart | Chicago Heart | New York Heart | Bandana Heart | LA Heart | Heart Suit | San Francisco Heart | Call Me Heart
,v2-arrow-hearts-black,ICON-45782315139329,Arrow Hearts Black Embroidered Icon,Lover Arrow Heart,1O5qxRx6J4ufBBjH8Lgf0bnWXc3lg8yoE,high,High confidence,0.9348,0,Lover Arrow Heart | Lover Locket | Lover Heart | Heart Outline | Heart Suit | Longhair Shi Tzu Locket | Poodle Locket | Italian Greyhound Locket | Lace Heart | Brown Doodle Locket | Cane Corso Locket | Locket Filled Bow
,v2-arrow-hearts,ICON-45782315237633,Arrow Hearts Embroidered Icon,Lover Arrow Heart,1O5qxRx6J4ufBBjH8Lgf0bnWXc3lg8yoE,high,High confidence,0.9340,0,Lover Arrow Heart | Lover Locket | Lover Heart | Heart Outline | Heart Suit | Poodle Locket | Longhair Shi Tzu Locket | Italian Greyhound Locket | Lace Heart | Brown Doodle Locket | Cane Corso Locket | Locket Filled Bow
,aussie-shepard-embroidered-icon,ICON-45851580236033,Aussie Shepard Embroidered Icon,Aussie Shepherd,13bOVo9yhwzxnw85Xv1uaSb60MOr5lvPh,high,High confidence,0.9172,0,Aussie Shepherd | Ski Aussie Shepherd | Shorthair Shi Tzu | Blonde Doodle | English Shepherd | Brussels Griffon | Eurasier | Brown Longhair Dachshund | Hamster | Brittany Spaniel | Chow Chow | Husky
,v2-avocado,ICON-45782315335937,Avocado Embroidered Icon,,,low,No match - likely cut,0.6933,-1,Olive | Oyster | Blush | Boston Cannoli | Plane Window | Espresso | Egg | Football | Hot Dog | Ski Goggles | Cowboy Hat | Steak
,b-cheetah-embroidered-icon,ICON-46172395831553,B Cheetah Embroidered Icon,,,low,No match - likely cut,0.9678,-1,Cheetah B | Cheetah R | Cheetah P | Cheetah D | Cheetah G | Cheetah F | Cheetah H | Cheetah Q | Cheetah L | Cheetah T | Cheetah U | Cheetah E
,b-cross-stitch-black-embroidered-icon,ICON-45923675898113,B Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9560,-1,Cross Stitch A | Cross Stitch Z | Cross Stitch R | Cross Stitch G | Cross Stitch E | Cross Stitch N | Cross Stitch S | Cross Stitch K | Cross Stitch B | Cross Stitch P | Cross Stitch V | Cross Stitch Y
,b-cross-stitch-red-embroidered-icon,ICON-45923617046785,B Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9555,-1,Cross Stitch A | Cross Stitch Z | Cross Stitch G | Cross Stitch R | Cross Stitch E | Cross Stitch N | Cross Stitch S | Cross Stitch K | Cross Stitch B | Cross Stitch P | Cross Stitch V | Cross Stitch Y
,v2-backgammon,ICON-45782315434241,Backgammon Embroidered Icon,,,low,No match - likely cut,0.5453,-1,Cross Stitch H | Cross Stitch D | Cross Stitch O | Cross Stitch R | Cross Stitch U | Cross Stitch V | Cross Stitch B | Cross Stitch N | Cross Stitch W | Yacht Flag G | Comb | Cross Stitch P
,v2-bagel-lox,ICON-45782315532545,Bagel + Lox Embroidered Icon,,,low,No match - likely cut,0.7514,-1,Donut | Bagel & Lox | Bagel | Burger | Espresso | Hot Dog | Chicago Bean | Smile Pancakes | Caviar Latke | Bandana O | Chicago Hot Dog Script | New York Hot Dog
,v2-bagel,ICON-45782315630849,Bagel Embroidered Icon,,,low,No match - likely cut,0.8496,-1,Bagel | Donut | Bagel & Lox | Bandana O | Espresso | 8 Ball | Bandana S | Cheetah O | Olive | Blue Plaid O | Chicago Bean | Hot Dog
,v2-baguette,ICON-45782315729153,Baguette Embroidered Icon,,,high,No match - likely cut,0.5635,-1,Surf Board | Joint | Lips | California Border | Lipstick | Hot Dog | Football | Bagel | Chicago Bean | Blush | Cigarette | Broken Heart
,balinese-cat-embroidered-icon,ICON-46386744426753,Balinese Cat Embroidered Icon,,,low,No match - likely cut,0.8779,-1,Grey and White Long Hair Cat | Orange and White Long Hair Cat | Grey Long Hair Cat | Balinese Cat | Orange Long Hair Cat | Black Long Hair Cat | White Long Hair Cat | Black and White Long Hair Cat | Long Hair Calico Cat | Black Short Hair Cat | Long Hair Striped Cat | Grey Short Hair Cat
,v2-banana,ICON-45782315827457,Banana Embroidered Icon,,,low,No match - likely cut,0.8023,-1,Banana | Joint | Claw Clip | Rose | Hibiscus | Whale | Red Rose | Rosebud | Boston Clover | Apple | Texas Outline | Weed
,v2-baseball,ICON-45782315925761,Baseball Embroidered Icon,,,low,No match - likely cut,0.8971,-1,Baseball | Basketball | Football | Watermelon | Adderall | Bandana E | Volleyball | Bagel | Smile Pancakes | World Cup 26 Soccer Ball | Tomato | Chicago Bean
,v2-basketball,ICON-45782316024065,Basketball Embroidered Icon,Basketball,1kaUVM1zxYVXJ9dzdlxGQ_gLtJgubDbTj,high,High confidence,0.8338,0,Basketball | Baseball | Volleyball | Adderall | Watermelon | Football | Tomato | Lemon Slice | Peach | Olive | Pills | XOXO Heart Blue
,v2-bass-cleff,ICON-45782316122369,Bass Cleff Embroidered Icon,,,low,No match - likely cut,0.8703,-1,Bass Cleff | Rx | I Love CHS | Blue Plaid S | Blue Plaid G | Blue Plaid Q | Cancer | I Love SF | I Love BOS | Blue Plaid J | Fish Bone | Candy Cane Heart
,basset-hound-dog-200-embroidered-icon,ICON-46286562590977,Basset Hound Dog 200 Embroidered Icon,,,low,No match - likely cut,0.9257,-1,Brown and White Basset Hound | Dark Brown and White Basset Hound | Ski Brown And White Basset Hound | Ski Dark Brown And White Basset Hound | Beagle | Black and Tan Shorthair Dachshund | Black and Tan Longhair Dachshund | Cocker Spaniel | Ski Beagle | Orange Cavalier | Brown Longhair Dachshund | Brown Shorthair Dachshund
,basset-hound-dog-tricolor-200-embroidered-icon,ICON-46286566916353,Basset Hound Dog Tricolor 200 Embroidered Icon,,,low,No match - likely cut,0.9271,-1,Dark Brown and White Basset Hound | Brown and White Basset Hound | Ski Brown And White Basset Hound | Ski Dark Brown And White Basset Hound | Beagle | Black and Tan Shorthair Dachshund | Orange Cavalier | Ski Beagle | Black and Tan Longhair Dachshund | Black Cavalier | Cocker Spaniel | Brown Longhair Dachshund
,beach-chair-embroidered-icon,ICON-46315996676353,Beach Chair Embroidered Icon,,,low,No match - likely cut,0.8317,-1,Beach Chair | Boston Adirondack Chair | LA Lifeguard Tower | San Francisco Golden Gate Bridge | Ski Lift | Boston Dunkin | Life Preserver | Nantucket Basket | Ice Skate | Gemini | Umbrella | English Saddle
,beagle-embroidered-icon,ICON-45851582398721,Beagle Embroidered Icon,,,low,No match - likely cut,0.9130,-1,Beagle | Ski Beagle | English Shepherd | Husky | German Shepherd | Dark Brown and White Basset Hound | Yellow Lab | Shorthair Shi Tzu | Ski Brown And White Basset Hound | Brown and White Basset Hound | Shiba Inu | Bernese Mountain Dog
,bernedoodle-dog-200-embroidered-icon,ICON-46286570946817,Bernedoodle dog 200 Embroidered Icon,Bernedoodle,10dsSWOYKw6TfUHSRIYOgzI1_06yxULts,high,High confidence,0.8871,0,Bernedoodle | Ski Bernedoodle | Bernese Mountain Dog | Shorthair Shi Tzu | Ski Bernese Mountain Dog | Ski Black Doodle | Brown Doodle | Black and Tan Longhair Dachshund | Black Cavalier | Black Doodle | Ski Brown Doodle | Blue Roan English Cocker Spaniel
,bernese-mountain-dog-200-embroidered-icon,ICON-46286575173889,Bernese Mountain Dog 200 Embroidered Icon,,,low,No match - likely cut,0.8939,-1,Bernese Mountain Dog | Ski Bernese Mountain Dog | Ski Border Collie | Border Collie | Ski Bernedoodle | Boston Terrier | Bernedoodle | Pit Bull | Boxer | Black and White Long Hair Cat | Rottweiler | Ski Boston Terrier
,bicycle-embroidered-icon,ICON-46316040585473,Bicycle Embroidered Icon,,,low,No match - likely cut,0.9598,-1,Bicycle | Moped | Chicago Ferris Wheel | Convertible Beetle | Lime Slice | Ring | Convertible | Lemon Slice | Smiley Face | Cosmopolitan | Snowflake | Taxi Snowglobe
,bikini-embroidered-icon,ICON-46316071190785,Bikini Embroidered Icon,,,low,No match - likely cut,0.9404,-1,Bikini | Bikini Polka Dot | Lingerie | Locket Filled Bow | Vine Tomatoes | Texas Outline | Rx | Fish Bone | I Love ATX | Apple Core | Brown Mushroom | I Love LA
,bikini-polka-dot-embroidered-icon,ICON-46316016337153,Bikini Polka Dot Embroidered Icon,,,low,No match - likely cut,0.9106,-1,Bikini Polka Dot | Bikini | Lingerie | Bandana Texas | Bandana Star | Christmas Tree | Locket Filled Bow | Stocking | Texas Outline | Strawberry Candy | Vine Tomatoes | LA Rodeo Drive Sign
,v2-black-heart,ICON-45782316220673,Black Heart Embroidered Icon,Heart Suit,1wRNNLBFhWUAnH4OtuE3Vnlm12uFxsdEN,high,High confidence,0.8586,0,Heart Suit | New York Heart | Dallas Heart | Chicago Heart | LA Heart | Austin Heart | San Diego Heart | Boston Heart | San Francisco Heart | Heart | Italian Greyhound Locket | Boxer Locket
,black-heart-outline-embroidered-icon,ICON-46264177524993,Black Heart Outline Embroidered Icon,Lover Heart,1xwsmS5dDlmn36sWRusZ7-M3CjZNbT2h9,high,High confidence,0.8660,0,Lover Heart | Heart Outline | Heart Suit | Lover Arrow Heart | New York Heart | Dallas Heart | Chicago Heart | LA Heart | San Francisco Heart | San Diego Heart | Boston Heart | Austin Heart
,black-lab-embroidered-icon,ICON-45851583512833,Black Lab Embroidered Icon,,,low,No match - likely cut,0.9388,-1,Chocolate Lab | Black Lab | Yellow Lab | Golden Retriever | Vizsla | Belgian Malinois | Rottweiler | Cane Corso | Black Doodle | Brown Doodle | Ski Rottweiler | Black Longhair Dachshund
,v2-black-poker-chip,ICON-45782316318977,Black Poker Chip Embroidered Icon,,,low,No match - likely cut,0.6657,-1,Life Preserver | Yacht Flag I | Round Evil Eye | 8 Ball | Lime Slice | Lemon Slice | Sun | Volleyball | Yacht Flag D | Summer Sun | Blue Plaid O | Japan Flag
,black-pug-200-embroidered-icon,ICON-46286580515073,Black Pug 200 Embroidered Icon,,,low,No match - likely cut,0.9300,-1,Black Pug | Rottweiler | Cane Corso | Dark Grey Frenchie | Chihuahua | Ski Black Pug | Fluffy Black Dog | Black Long Hair Cat | Black Short Hair Cat | Tan Frenchie | Fluffy Brown Dog | Chow Chow
,v2-blue-heart,ICON-45784345182465,Blue Heart Embroidered Icon,Heart Suit,1wRNNLBFhWUAnH4OtuE3Vnlm12uFxsdEN,high,High confidence,0.8038,1,New York Heart | Heart Suit | Dallas Heart | LA Heart | Chicago Heart | Austin Heart | Italian Greyhound Locket | San Diego Heart | Boston Heart | San Francisco Heart | Boxer Locket | Golden Retriever Locket
,blue-heart-outline-embroidered-icon,ICON-46264177721601,Blue Heart Outline Embroidered Icon,Lover Heart,1xwsmS5dDlmn36sWRusZ7-M3CjZNbT2h9,high,High confidence,0.8042,0,Lover Heart | Heart Outline | Heart Suit | New York Heart | Dallas Heart | Chicago Heart | Lover Arrow Heart | Italian Greyhound Locket | LA Heart | San Diego Heart | San Francisco Heart | Boston Heart
,v2-tennis,ICON-45782343155969,Blue Tennis Embroidered Icon,,,low,No match - likely cut,0.8543,-1,Tennis | Pink Tennis | Tennis Raquets | Hair Brush | Pink Tennis Raquets | Pickleball Paddle | Margarita | Olive on Toothpick | Martini | Aperol Spritz | Espresso Martini | Matches
,v2-tennis-raquets,ICON-45782343254273,Blue Tennis Racquets Embroidered Icon,,,low,No match - likely cut,0.8857,-1,Tennis Raquets | Pink Tennis Raquets | Tennis | Pink Tennis | Pickleball Paddle | Hair Brush | Cross Stitch Martini | Light Blue Pickleball Paddles | Pickleball Paddles | Margarita | Red Wine | Espresso Martini
,v2-boarding-pass,ICON-45782316417281,Boarding Pass Embroidered Icon,,,low,No match - likely cut,0.8122,-1,Boarding Pass | MetroCard | Pink Suitcase | Needlepoint | Boston License Plate | Prozac | Chicago Flag | California Flag | Japan Stamp | Boston Sign | Mahjong Tiles | Navy Suitcase
,v2-boot-prints,ICON-45782316548353,Boot Prints Embroidered Icon,,,low,No match - likely cut,0.5329,-1,Four Olives on Toothpick | Snowboard | Bikini | Cross Stitch I | Purple Hydrangea | Bikini Polka Dot | Hot Dog | Cross Stitch F | Vine Tomatoes | Cross Stitch P | Cross Stitch J | Candy Cane Bow
,border-collie-dog-200-embroidered-icon,ICON-46286582644993,Border Collie Dog 200 Embroidered Icon,,,low,No match - likely cut,0.9282,-1,Border Collie | Ski Border Collie | Bernese Mountain Dog | Ski Bernese Mountain Dog | English Shepherd | Husky | Ski Bernedoodle | Pit Bull | Boxer | Boston Terrier | Beagle | Belgian Malinois
,boston-terrier-dog-200-embroidered-icon,ICON-46286586675457,Boston Terrier Dog 200 Embroidered Icon,Boston Terrier,1d_HstSa3dXnSyuQbIZysjpVuXekV4TuS,high,High confidence,0.9345,0,Boston Terrier | Ski Boston Terrier | Boxer | Husky | Great Dane | Doberman | Pit Bull | Ski Boxer | Cane Corso | German Shepherd | Dark Grey Frenchie | Spotted Pit Bull
