shopify_gid,handle,sku,old_name,new_name,matched_png_fileid,confidence,bucket,top_similarity,chosen_index,candidate_names
gid://shopify/Product/8651154751745,v2-black-heart,ICON-45782316220673,Black Heart Embroidered Icon,Heart Suit,1wRNNLBFhWUAnH4OtuE3Vnlm12uFxsdEN,high,High confidence,0.8586,0,Heart Suit | New York Heart | Dallas Heart | Chicago Heart | LA Heart | Austin Heart | San Diego Heart | Boston Heart | San Francisco Heart | Heart | Italian Greyhound Locket | Boxer Locket
gid://shopify/Product/8781325861121,black-heart-outline-embroidered-icon,ICON-46264177524993,Black Heart Outline Embroidered Icon,Lover Heart,1xwsmS5dDlmn36sWRusZ7-M3CjZNbT2h9,high,High confidence,0.8660,0,Lover Heart | Heart Outline | Heart Suit | Lover Arrow Heart | New York Heart | Dallas Heart | Chicago Heart | LA Heart | San Francisco Heart | San Diego Heart | Boston Heart | Austin Heart
gid://shopify/Product/8651646370049,v2-blue-heart,ICON-45784345182465,Blue Heart Embroidered Icon,Heart Suit,1wRNNLBFhWUAnH4OtuE3Vnlm12uFxsdEN,high,High confidence,0.8038,1,New York Heart | Heart Suit | Dallas Heart | LA Heart | Chicago Heart | Austin Heart | Italian Greyhound Locket | San Diego Heart | Boston Heart | San Francisco Heart | Boxer Locket | Golden Retriever Locket
gid://shopify/Product/8781325959425,blue-heart-outline-embroidered-icon,ICON-46264177721601,Blue Heart Outline Embroidered Icon,Lover Heart,1xwsmS5dDlmn36sWRusZ7-M3CjZNbT2h9,high,High confidence,0.8042,0,Lover Heart | Heart Outline | Heart Suit | New York Heart | Dallas Heart | Chicago Heart | Lover Arrow Heart | Italian Greyhound Locket | LA Heart | San Diego Heart | San Francisco Heart | Boston Heart
gid://shopify/Product/8651646402817,v2-broken-heart,ICON-45784345280769,Broken Heart Embroidered Icon,Broken Heart,1tMwbIki3MSzOOZ43GK9Gx7KACvx2_buf,high,High confidence,0.7590,0,Broken Heart | Heart Suit | Austin Heart | Dallas Heart | New York Heart | Chicago Heart | LA Heart | Heart | Boston Heart | San Diego Heart | San Francisco Heart | Doberman Locket
gid://shopify/Product/8651155243265,v2-call-me-heart,ICON-45782317400321,Call Me Heart Embroidered Icon,Call Me Heart,17mAJCkGHnXvU3LW2V9G28yDlbjkw-5pH,high,High confidence,0.9165,1,XOXO Heart Blue | Call Me Heart | XOXO Heart Pink | Love You Heart | LA Heart | New York Heart | Austin Heart | San Francisco Heart | San Diego Heart | Boston Heart | Dallas Heart | Chicago Heart
gid://shopify/Product/8958714478849,candy-cane-heart-embroidered-icon,ICON-46892774949121,Candy Cane Heart Embroidered Icon,Candy Cane Heart,1cE4hmHozijaGthvENcpLblWlNhXhRbkP,high,High confidence,0.9401,0,Candy Cane Heart | Crossed Candy Canes | Candy Cane Bow | Pretzel | Bass Cleff | I Love SF | I Love CHS | Locket Filled Bow | Heart Suit | Golf Clubs | Cheetah V | Heart Outline
gid://shopify/Product/8958714937601,green-hot-chocolate-embroidered-icon,ICON-46892776718593,Green Hot Chocolate Embroidered Icon,Green Hot Chocolate,10Pepl1lN581oVgGwg0ZcQjtgqGV7FG3q,high,High confidence,0.9476,0,Green Hot Chocolate | Red Hot Chocolate | Virgo | Chicago Popcorn | Capricorn | Cancer | Espresso | Scorpio | Diet Coke | Fries | Purple Hydrangea | Spicy Marg
gid://shopify/Product/8651157405953,v2-heart-dice-black,ICON-45782327197953,Heart Dice Black Embroidered Icon,Heart Dice,14oy3e1YK4HbCghRVKMgm_nHYBcpu41i9,high,High confidence,0.8462,0,Heart Dice | Dice | Diamond | Envelope | Jack of Hearts | Cards | Ace of Hearts | Popcorn | Queen of Hearts | King of Hearts | Negroni | Coffee
gid://shopify/Product/8651157471489,v2-heart-dice,ICON-45782327361793,Heart Dice Embroidered Icon,Heart Dice,14oy3e1YK4HbCghRVKMgm_nHYBcpu41i9,high,High confidence,0.8666,0,Heart Dice | Dice | Diamond | Cards | Jack of Hearts | Ace of Hearts | Envelope | Popcorn | Negroni | Queen of Hearts | Donut | Matcha
gid://shopify/Product/8651157569793,v2-heart-pizza,ICON-45782327820545,Heart Pizza Embroidered Icon,Heart Pizza,1l4LtyB043UR2dd_eAV9-8cuicWfyj-bl,high,High confidence,0.8538,0,Heart Pizza | Strawberry | Queen of Hearts | Ace of Hearts | Locket Filled Bow | Locket Filled | Italian Greyhound Locket | Doberman Locket | Heart Suit | Brown Doodle Locket | Black Doodle Locket | Heart
gid://shopify/Product/8882703073537,heart-suit-embroidered-icon,ICON-46626340995329,Heart Suit Embroidered Icon,Heart Suit,1wRNNLBFhWUAnH4OtuE3Vnlm12uFxsdEN,high,High confidence,0.9769,0,Heart Suit | Dallas Heart | New York Heart | Heart | LA Heart | Chicago Heart | Austin Heart | Boston Heart | San Diego Heart | San Francisco Heart | Bandana Heart | XOXO Heart Pink
gid://shopify/Product/8651157897473,v2-hot-dog,ICON-45782329295105,Hot Dog Embroidered Icon,Hot Dog,1S2vrb5gE0YqkZJoJrNynlRLjistCtVZ5,high,High confidence,0.8413,0,Hot Dog | New York Hot Dog | Chicago Hot Dog Script | Chicago Hot Dog Print | Chicago Bean | Oyster | Boston Cannoli | Burger | Lips | Claw Clip | Steak | Plane Window
gid://shopify/Product/8651157963009,v2-hot-sauce,ICON-45782329426177,Hot Sauce Embroidered Icon,Hot Sauce,1F-5c3qtKLa9iXIq3i40C6cZX7lrwWisQ,high,High confidence,0.8387,0,Hot Sauce | Nail Polish | Wine Bottle | Champagne Bottle | Lipstick | Aperol Bottle | Topo Chico | Sun Tan Lotion | Lighter | Sriracha | Perfume Bottle | Pink Lighter
gid://shopify/Product/8651158028545,v2-i-heart-ny,ICON-45782329884929,I Heart NY Embroidered Icon,,,high,No match - likely cut,0.8485,-1,I Love DTX | I Love BOS | I Love CHS | I Love ATX | I Love CHI | I Love SF | Tokyo Kanji | Japan Kanji | Lover Locket | Tic-tac-toe | Lover Arrow Heart | I Love LA
gid://shopify/Product/8651158520065,v2-lace-heart,ICON-45782332408065,Lace Heart Embroidered Icon,Lace Heart,1gKCUziHb8V5uSNtATxHwCM9A63MkAfJG,high,High confidence,0.8279,0,Lace Heart | Heart | Schnauzer Locket | Boxer Locket | Bandana Heart | Bulldog Locket | Italian Greyhound Locket | Austin Heart | Golden Retriever Locket | Black Doodle Locket | Doberman Locket | Heart Suit
gid://shopify/Product/8882703008001,new-york-hot-dog-embroidered-icon,ICON-46626340667649,New York Hot Dog Embroidered Icon,New York Hot Dog,1iDAapDB-CZtgM8GHiEsmn3UuM52ZEJ05,high,High confidence,0.9091,1,Chicago Hot Dog Print | New York Hot Dog | Chicago Hot Dog Script | Chicago Bean | Xanax | Caviar | Claw Clip | Apple Core | MetroCard | Hot Dog | Smile Pancakes | Cowboy Hat
gid://shopify/Product/8651647156481,v2-pink-conversation-heart,ICON-45784349114625,Pink Conversation Heart Embroidered Icon,Love You Heart,1XN1eIALoMf39G-N6ROY7dIYXGMQNGWKN,high,High confidence,0.8984,2,XOXO Heart Blue | XOXO Heart Pink | Love You Heart | Call Me Heart | New York Heart | LA Heart | San Francisco Heart | Austin Heart | Boston Heart | San Diego Heart | Dallas Heart | Chicago Heart
gid://shopify/Product/8651647353089,v2-pink-heart,ICON-45784349442305,Pink Heart Embroidered Icon,Heart Suit,1wRNNLBFhWUAnH4OtuE3Vnlm12uFxsdEN,high,High confidence,0.8249,8,New York Heart | Dallas Heart | LA Heart | Austin Heart | San Diego Heart | Boston Heart | Chicago Heart | San Francisco Heart | Heart Suit | Italian Greyhound Locket | Boxer Locket | XOXO Heart Blue
